Rank,Geographic Area,Housing 7/1/18,Housing 7/1/19,Change,Percent
1,"Osceola County, Florida","153,219","162,661","9,442",6.2
2,"Madison County, Idaho","14,546","15,366",820,5.6
3,"Greene County, Georgia","9,916","10,468",552,5.6
4,"St. Johns County, Florida","110,696","116,385","5,689",5.1
5,"Gadsden County, Florida","20,672","21,728","1,056",5.1
6,"West Baton Rouge Parish, Louisiana","11,187","11,752",565,5.1
7,"Clay County, South Dakota","6,036","6,296",260,4.3
8,"Rockwall County, Texas","35,714","37,226","1,512",4.2
9,"Forsyth County, Georgia","84,009","87,537","3,528",4.2
10,"Comal County, Texas","60,874","63,391","2,517",4.1
11,"Chambers County, Texas","16,182","16,823",641,4.0
12,"Washington County, Utah","71,306","74,129","2,823",4.0
13,"Union County, Ohio","21,565","22,410",845,3.9
14,"Ellis County, Texas","63,488","65,940","2,452",3.9
15,"Warren County, Kentucky","53,875","55,942","2,067",3.8
16,"Collin County, Texas","376,004","390,216","14,212",3.8
17,"Iron County, Utah","21,586","22,383",797,3.7
18,"Williamson County, Texas","198,289","205,609","7,320",3.7
19,"Wasatch County, Utah","13,813","14,322",509,3.7
20,"Jasper County, South Carolina","12,082","12,525",443,3.7
21,"Utah County, Utah","179,981","186,554","6,573",3.7
22,"Dawson County, Georgia","11,778","12,208",430,3.7
23,"Cherokee County, Georgia","94,150","97,492","3,342",3.5
24,"Benton County, Arkansas","108,370","112,183","3,813",3.5
25,"Hays County, Texas","81,705","84,560","2,855",3.5
26,"Teton County, Idaho","5,966","6,172",206,3.5
27,"Fort Bend County, Texas","260,376","269,362","8,986",3.5
28,"Travis County, Texas","527,640","545,693","18,053",3.4
29,"Denton County, Texas","318,577","329,454","10,877",3.4
30,"Bryan County, Georgia","14,770","15,272",502,3.4
31,"Johnston County, North Carolina","77,226","79,849","2,623",3.4
32,"Ada County, Idaho","186,400","192,630","6,230",3.3
33,"Caldwell County, Texas","15,165","15,671",506,3.3
34,"Montgomery County, Texas","222,430","229,697","7,267",3.3
35,"Brunswick County, North Carolina","92,073","95,075","3,002",3.3
